0:00:00.000000,0.0234375,-0.0234375,0.6796875
-1 day, 23:59:59.177000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.191000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.211000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.231000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.251000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:59.271000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.291000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:59.311000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.331000,0.0078125,-0.046875,0.65625
-1 day, 23:59:59.351000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.371000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.391000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.411000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.431000,0.0078125,-0.046875,0.6796875
-1 day, 23:59:59.451000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.471000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.491000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.511000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.531000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.551000,0.0078125,-0.0546875,0.6640625
-1 day, 23:59:59.571000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.618000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.638000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.658000,0.015625,-0.0390625,0.671875
-1 day, 23:59:59.678000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.698000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.718000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.738000,0.0078125,-0.046875,0.6796875
-1 day, 23:59:59.758000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.778000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.798000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.818000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.838000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.858000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.878000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.898000,0.0078125,-0.046875,0.671875
-1 day, 23:59:59.918000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.938000,0.0078125,-0.046875,0.6640625
-1 day, 23:59:59.958000,0.015625,-0.046875,0.671875
-1 day, 23:59:59.978000,0.0078125,-0.0390625,0.671875
-1 day, 23:59:59.998000,0.0078125,-0.0390625,0.65625
0:00:00.011000,0.0078125,-0.0546875,0.65625
0:00:00.031000,0.0078125,-0.046875,0.671875
0:00:00.051000,0.0078125,-0.046875,0.671875
0:00:00.071000,0.0078125,-0.0546875,0.671875
0:00:00.091000,0.0078125,-0.046875,0.6640625
0:00:00.111000,0.0078125,-0.0390625,0.6640625
0:00:00.131000,0.0078125,-0.046875,0.6640625
0:00:00.151000,0.0078125,-0.0546875,0.671875
0:00:00.171000,0.0078125,-0.046875,0.671875
0:00:00.191000,0,-0.046875,0.6640625
0:00:00.211000,0.0078125,-0.0546875,0.6640625
0:00:00.231000,0.0078125,-0.0546875,0.6796875
0:00:00.251000,0.0078125,-0.0546875,0.6796875
0:00:00.271000,0.0078125,-0.0546875,0.6640625
0:00:00.291000,0.0078125,-0.0546875,0.65625
0:00:00.311000,0.015625,-0.0546875,0.6640625
0:00:00.331000,0.015625,-0.0546875,0.671875
0:00:00.351000,0.015625,-0.0546875,0.671875
0:00:00.371000,0.015625,-0.046875,0.6796875
0:00:00.391000,0.015625,-0.046875,0.671875
0:00:00.412000,0.015625,-0.046875,0.671875
0:00:00.432000,0.0078125,-0.046875,0.6875
0:00:00.452000,0.015625,-0.046875,0.671875
0:00:00.472000,0.0234375,-0.0546875,0.6640625
0:00:00.492000,0.0234375,-0.046875,0.65625
0:00:00.512000,0.0234375,-0.046875,0.65625
0:00:00.532000,0.0234375,-0.0546875,0.6640625
0:00:00.552000,0.0234375,-0.0546875,0.6640625
0:00:00.572000,0.0234375,-0.046875,0.6640625
0:00:00.592000,0.0234375,-0.046875,0.6640625
0:00:00.612000,0.03125,-0.0390625,0.6640625
0:00:00.632000,0.03125,-0.046875,0.671875
0:00:00.652000,0.03125,-0.046875,0.6640625
0:00:00.672000,0.03125,-0.046875,0.671875
0:00:00.692000,0.03125,-0.046875,0.6640625
0:00:00.712000,0.03125,-0.046875,0.6640625
0:00:00.732000,0.03125,-0.046875,0.65625
0:00:00.752000,0.03125,-0.046875,0.671875
0:00:00.772000,0.0234375,-0.0390625,0.6640625
0:00:00.792000,0.015625,-0.0703125,0.6796875
0:00:00.797000,0.0625,-0.0390625,0.65625
0:00:00.817000,0.03125,-0.0234375,0.671875
0:00:00.837000,0.0390625,-0.03125,0.6796875
0:00:00.857000,0.0390625,-0.0234375,0.671875
0:00:00.877000,0.0390625,-0.03125,0.6796875
0:00:00.897000,0.0390625,-0.03125,0.671875
0:00:00.917000,0.046875,-0.0546875,0.6640625
0:00:00.937000,0.046875,-0.0546875,0.65625
0:00:00.957000,0.046875,-0.0390625,0.640625
0:00:00.977000,0.046875,-0.0390625,0.6484375
0:00:00.997000,0.046875,-0.0390625,0.6484375
0:00:01.017000,0.0390625,-0.03125,0.671875
0:00:01.037000,0.046875,-0.0234375,0.671875
0:00:01.057000,0.046875,-0.0234375,0.6640625
0:00:01.077000,0.046875,-0.03125,0.671875
0:00:01.097000,0.0390625,-0.0546875,0.6796875
0:00:01.117000,0.046875,-0.046875,0.6640625
0:00:01.137000,0.046875,-0.046875,0.6640625
0:00:01.157000,0.0390625,-0.046875,0.65625
0:00:01.177000,0.046875,-0.046875,0.6484375
0:00:01.211000,0.046875,-0.046875,0.6484375
0:00:01.231000,0.0390625,-0.046875,0.671875
0:00:01.251000,0.03125,-0.046875,0.6640625
0:00:01.271000,0.0234375,-0.046875,0.6640625
0:00:01.291000,0.0390625,-0.0390625,0.6953125
0:00:01.311000,0.0234375,-0.046875,0.6953125
0:00:01.331000,0.0234375,-0.046875,0.6875
0:00:01.351000,0.0234375,-0.0546875,0.703125
0:00:01.371000,-0.0234375,-0.09375,0.8671875
0:00:01.391000,-0.0390625,-0.1796875,0.921875
0:00:01.411000,-0.546875,-0.1875,0.859375
0:00:01.431000,-1.398438,-0.578125,1.007813
0:00:01.451000,-2.195313,-0.875,0.78125
0:00:01.471000,-2.492188,-0.953125,0.703125
0:00:01.491000,-2.648438,-0.8828125,0.859375
0:00:01.511000,-2.710938,-0.90625,1.296875
0:00:01.531000,-2.507813,-0.84375,1.757813
0:00:01.551000,-2.289063,-0.8515625,2.351563
0:00:01.571000,-1.96875,-0.6796875,2.882813
0:00:01.591000,-1.625,-0.4375,3.171875
0:00:01.617000,-1.335938,-0.3125,3.242188
0:00:01.637000,-1.164063,-0.2734375,3.21875
0:00:01.657000,-0.921875,-0.359375,3.15625
0:00:01.677000,-0.703125,-0.4296875,3.007813
0:00:01.697000,-0.5546875,-0.390625,2.671875
0:00:01.717000,-0.4765625,-0.453125,2.390625
0:00:01.737000,-0.2265625,-0.5625,2.289063
0:00:01.757000,0.0625,-0.4140625,1.992188
0:00:01.777000,0.5390625,-0.3828125,1.84375
0:00:01.797000,1.5625,-0.2109375,1.578125
0:00:01.817000,2.6875,0.328125,1.203125
0:00:01.837000,3.671875,1.09375,0.671875
0:00:01.857000,3.476563,1.101563,0.46875
0:00:01.877000,3.476563,1.25,0.03125
0:00:01.897000,3.054688,0.84375,-0.03125
0:00:01.917000,2.492188,0.90625,-0.2109375
0:00:01.937000,2.085938,0.7421875,0.0234375
0:00:01.957000,1.945313,0.6328125,0.3046875
0:00:01.977000,1.742188,0.453125,0.859375
0:00:01.997000,1.46875,0.1484375,1.476563
0:00:02.013000,1.234375,0.0078125,2.085938
0:00:02.033000,1.039063,-0.1171875,2.75
0:00:02.053000,1.1875,-0.25,3.5625
0:00:02.073000,0.9921875,-0.234375,3.992188
0:00:02.093000,0.3984375,-0.3515625,3.992188
0:00:02.113000,-0.1640625,-0.4453125,3.992188
0:00:02.133000,-0.7265625,-0.4453125,3.992188
0:00:02.153000,-1.445313,-0.875,3.992188
0:00:02.173000,-2.21875,-1.46875,3.171875
0:00:02.193000,-3.03125,-1.765625,2.054688
0:00:02.213000,-3.3125,-1.6875,1.21875
0:00:02.233000,-3.1875,-1.6875,0.671875
0:00:02.253000,-2.59375,-1.625,0.8046875
0:00:02.273000,-4,-2.507813,3.992188
0:00:02.293000,-1.515625,-1.734375,1.929688
0:00:02.313000,-0.2265625,-0.1328125,1.179688
0:00:02.333000,0.1484375,0.0859375,0.8125
0:00:02.353000,-0.0234375,-0.171875,0.421875
0:00:02.373000,0.015625,-0.21875,0.34375
0:00:02.393000,0.0625,0.015625,0.8203125
0:00:02.414000,0.046875,0.015625,0.7890625
0:00:02.434000,0.0546875,-0.0234375,0.6953125
0:00:02.454000,0.0546875,-0.0625,0.640625
0:00:02.474000,0.0390625,-0.0546875,0.6484375
0:00:02.494000,0.0390625,-0.03125,0.671875
0:00:02.514000,0.0390625,-0.0234375,0.6640625
0:00:02.534000,0.0390625,-0.03125,0.6640625
0:00:02.554000,0.0390625,-0.0234375,0.6953125
0:00:02.574000,0.0234375,-0.046875,0.71875
0:00:02.594000,-0.0859375,-0.2109375,1.015625
0:00:02.614000,-0.078125,-0.1640625,1.632813
0:00:02.634000,-1.054688,-0.921875,1.640625
0:00:02.654000,-3,-1.351563,1.171875
0:00:02.674000,-4,-2.476563,1.007813
0:00:02.694000,-3.734375,-1.914063,0.875
0:00:02.714000,-3.132813,-1.75,1.945313
0:00:02.734000,-2.132813,-1.4375,3.023438
0:00:02.754000,-1.148438,-0.96875,3.742188
0:00:02.774000,-0.5,-0.3515625,3.992188
0:00:02.794000,-0.390625,0.28125,3.929688
0:00:02.804000,-0.7265625,0.671875,3.492188
0:00:02.824000,-0.7734375,0.34375,3.148438
0:00:02.844000,-0.7890625,-0.546875,3.078125
0:00:02.864000,-0.7265625,-1.015625,2.976563
0:00:02.884000,-0.3828125,-0.96875,2.84375
0:00:02.904000,-0.1796875,-0.765625,2.664063
0:00:02.924000,0.21875,-0.5546875,2.570313
0:00:02.944000,1.007813,-0.140625,2.328125
0:00:02.964000,2.0625,0.3671875,1.859375
0:00:02.984000,3.570313,1.34375,0.6875
0:00:03.004000,3.875,1.015625,0.375
0:00:03.024000,3.960938,1.710938,-0.453125
0:00:03.044000,3.820313,1.171875,-0.9453125
0:00:03.064000,2.960938,0.078125,-0.6875
0:00:03.084000,2.320313,0.328125,-0.59375
0:00:03.104000,2.539063,0.8046875,-0.5546875
0:00:03.124000,2.59375,0.9765625,0
0:00:03.144000,2.125,0.3359375,0.984375
0:00:03.164000,1.460938,0.2734375,1.539063
0:00:03.184000,1.085938,0.3203125,2.03125
0:00:03.238000,1.085938,-0.078125,2.710938
0:00:03.258000,1.054688,-0.6171875,3.445313
0:00:03.278000,0.734375,-0.671875,3.898438
0:00:03.298000,0.359375,-0.640625,3.992188
0:00:03.318000,-0.0546875,-0.6328125,3.992188
0:00:03.338000,-0.3984375,-0.5546875,3.992188
